x,t,u
0.90909094,0.2,0.6507409
0.27272728,0.1,0.6225167
0.74747473,0.4,0.786594
0.32323232,0.3,0.6242586
0.37373737,0.5,0.5507472
0.6060606,0.4,0.543191
0.28282827,0.1,0.6774935
0.07070707,0.5,0.074159905
0.72727275,0.3,0.80929786
0.6666667,0.8,0.6234543
0.11111111,0.2,0.04989104
0.24242425,0.1,0.44618934
0.22222222,0.2,0.3656996
0.6363636,0.5,0.60813385
0.2020202,0.6,0.3187408
0.34343433,0.0,1.1293437
0.34343433,0.0,1.1293437
0.75757575,0.5,0.7419948
0.13131313,0.8,0.19601361
0.47474748,0.2,0.4421839
0.8989899,0.7,0.40020317
0.97979796,0.6,0.09497179
0.01010101,0.2,-0.009084895
0.8888889,0.8,0.3983875
0.13131313,0.4,0.15747981
0.01010101,0.2,-0.009084895
0.05050505,0.1,-0.008834675
0.01010101,0.3,-0.0114619285
0.01010101,0.8,0.007766053
0.83838385,0.9,0.48651135
0.5959596,0.8,0.5882793
0.1919192,0.0,0.051286086
0.42424244,0.0,0.78413445
0.08080808,0.6,0.1008095
0.23232323,0.1,0.38780516
0.9292929,0.4,0.39458865
0.32323232,0.7,0.4766397
0.7373737,0.9,0.604747
0.9292929,0.1,0.6575906
0.11111111,0.5,0.13838927
0.060606062,0.5,0.059690997
0.21212122,0.9,0.3204556
0.3131313,0.7,0.46729404
0.74747473,0.5,0.73884565
0.8080808,0.2,0.94246477
0.42424244,0.8,0.5232479
0.37373737,0.9,0.49060732
0.121212125,0.7,0.17517953
0.7676768,0.6,0.6943682
0.121212125,0.7,0.17517953
0.34343433,0.7,0.49310738
0.82828283,0.4,0.7540927
1.0,0.8,0.004651651
0.4949495,0.5,0.5208927
0.75757575,0.5,0.7419948
0.17171717,0.6,0.26154023
0.969697,0.1,0.31094742
0.4949495,0.5,0.5208927
0.4040404,0.4,0.57235307
0.45454547,0.3,0.51896816
0.45454547,0.0,0.46002573
0.6262626,0.5,0.5941625
0.17171717,0.1,0.107570335
0.68686867,0.0,0.93256646
0.18181819,0.2,0.21532576
0.7979798,0.9,0.55195105
0.959596,0.1,0.4095174
0.41414142,0.3,0.5923508
0.57575756,0.5,0.54000837
0.45454547,0.7,0.53550225
0.17171717,0.8,0.26239902
0.26262626,0.6,0.42346317
0.15151516,0.1,0.05171959
0.32323232,0.5,0.5241826
0.42424244,0.6,0.5372085
0.08080808,0.1,-0.014461294
0.27272728,0.6,0.4383456
0.83838385,0.4,0.73399925
0.16161616,0.0,-0.040044084
0.5555556,0.2,0.3421839
0.36363637,0.5,0.5483044
0.23232323,0.1,0.38780516
0.4040404,0.8,0.51527196
0.121212125,0.7,0.17517953
0.9292929,0.8,0.2711619
0.9292929,0.2,0.52714455
