x,t,u
0.3131313,0.3,0.6540520232532039
0.6262626,0.4,0.5042509489842059
0.7878788,0.6,0.37231351753963693
0.7373737,0.9,0.33194898473746637
0.23232323,0.7,0.26757341148308467
0.5151515,0.6,0.485937980553374
0.3030303,0.3,0.5741351616798357
0.3939394,0.0,1.0582573917124056
0.11111111,0.0,0.27492972593473436
0.27272728,0.8,0.40371476890650926
0.05050505,0.7,0.09553571625912372
0.9292929,0.4,0.15181498296933646
0.1919192,0.3,0.451876562251051
0.7070707,0.3,0.5803741007062634
0.6363636,0.9,0.40603756208954817
0.11111111,0.0,0.3242245968415197
0.6363636,0.7,0.5016749034791843
0.7878788,0.7,0.25021725318132876
0.42424244,0.3,0.7427080894032637
0.82828283,0.7,0.2996416970406339
0.3939394,0.5,0.5661138672799941
0.82828283,0.6,0.2681517877329642
0.969697,0.1,0.09145267591537952
0.9292929,0.8,0.10081933009580159
0.97979796,0.9,0.022541558219514337
0.41414142,0.5,0.5392452043111794
0.8484849,0.0,0.46605244170212784
0.7373737,0.6,0.37633806798866043
0.72727275,0.6,0.3464356163592057
0.7878788,0.3,0.42421949112477136
0.16161616,0.1,0.44280691997044447
0.41414142,0.5,0.6434752946419091
0.9191919,0.7,0.14083660631427522
0.16161616,0.9,0.17669471506612477
0.3030303,0.4,0.529125881912073
0.3030303,0.9,0.35393827650138454
0.4949495,0.7,0.414277955258973
0.6060606,0.4,0.6071662119132611
0.45454547,0.3,0.6724797953470324
0.959596,0.1,0.10343484219074131
0.35353535,0.2,0.6212170366802715
0.86868685,0.8,0.1817863076544118
0.04040404,0.4,0.09433924105693692
0.47474748,0.5,0.5554582540446024
0.4848485,0.7,0.5421477522987594
0.8080808,0.1,0.463231639489431
0.24242425,0.8,0.3752949862863993
0.45454547,0.4,0.7210120417833615
0.8484849,0.8,0.18549077825754887
0.9191919,0.8,0.1198936239820047
0.7676768,0.1,0.507755620902623
1.0,0.3,-0.00031581149027693026
0.969697,0.4,0.0640568088384749
0.6767677,0.1,0.6839691899402877
0.22222222,0.4,0.44841345724789605
0.57575756,0.3,0.6167108212654665
0.13131313,0.6,0.23688785064733522
0.959596,0.8,0.06715097359278871
0.26262626,0.2,0.6076892689334442
0.3030303,0.4,0.5510941829772902
0.959596,0.6,0.0671350542521143
0.53535354,0.0,0.9326306879908137
0.5959596,0.7,0.5719245104474899
0.57575756,0.0,0.8529748883997215
0.32323232,0.0,0.7686852406446072
0.23232323,0.3,0.5272616250891355
0.35353535,0.0,0.9854219112969056
0.27272728,0.1,0.5936572189243462
0.7878788,0.2,0.5133391176126039
0.94949496,0.8,0.07448186600128569
0.5252525,0.6,0.5045557210976059
0.15151516,0.2,0.3979968770625119
0.65656567,0.8,0.323861197765097
0.36363637,0.2,0.7782456784716265
0.6969697,0.4,0.5833460323707524
0.72727275,0.1,0.6233626724318787
0.82828283,0.7,0.26730288723285794
0.3838384,0.0,0.7882612819983741
0.11111111,0.0,0.3068306460742847
0.83838385,0.8,0.21062011792551558
0.85858583,0.3,0.31308247382229887
0.45454547,0.9,0.36375869669565764
0.01010101,0.5,0.02165210822032683
0.7676768,0.1,0.4920394858097978
0.18181819,0.7,0.2725922690211101
0.07070707,0.5,0.11227566863263294
0.07070707,0.6,0.0996696378341294
0.9292929,0.4,0.153643164993154
0.02020202,0.7,0.025943623749558227
0.969697,0.2,0.06261003241646948
0.6969697,0.6,0.3836730375800995
0.8787879,0.8,0.16336732177527866
0.13131313,0.2,0.3047661492279577
0.3030303,0.6,0.4930095519784055
0.43434343,0.0,1.1430068850481077
0.56565654,0.9,0.36762733996885855
0.74747473,0.2,0.6156003151966621
0.28282827,0.8,0.3724335176084026
0.18181819,0.7,0.24401957392233867
0.13131313,0.8,0.16747371797486404
0.85858583,0.5,0.2269984343103358
0.97979796,0.2,0.047719038479193995
0.6767677,0.8,0.4251660096283236
0.8484849,0.8,0.21200434578685745
0.25252524,0.0,0.8091927521487474
0.5252525,0.0,0.9707092901102835
0.21212122,0.1,0.5123718545291517
0.97979796,0.0,0.06779140287250308
0.44444445,0.7,0.5868882159079576
0.6969697,0.0,0.9279309821479266
0.0,0.9,-0.002864743965678259
0.26262626,0.1,0.5876141358679076
0.34343433,0.9,0.33380297667535924
0.42424244,0.1,1.0542843375244637
0.57575756,0.0,0.920741347368448
0.6262626,0.7,0.5537106877489262
0.3939394,0.4,0.607751631868867
0.54545456,0.0,0.9107127340705254
0.6060606,0.8,0.40156639053553966
0.82828283,0.4,0.2961335234628078
0.4040404,0.6,0.4589090702651444
0.15151516,0.3,0.3504854398241543
0.56565654,0.4,0.5812241489090897
0.6767677,0.3,0.7054938111221236
0.05050505,0.4,0.11231511622224911
0.8989899,0.7,0.1369032226071858
0.34343433,0.7,0.35930174507620877
0.6767677,0.0,0.6819232705486896
1.0,0.0,-0.00025302509846502485
0.8888889,0.6,0.17527528992314703
0.11111111,0.4,0.22573393124439026
0.7373737,0.7,0.3200385699367654
0.27272728,0.5,0.5283307945365827
0.4848485,0.6,0.6018099968426198
0.26262626,0.3,0.6364453493675508
0.6262626,0.8,0.4658107034040538
0.21212122,0.4,0.45777472328698277
0.27272728,0.8,0.3773445893653736
0.43434343,0.3,0.7281475651175007
0.030303031,0.0,0.07474824903403239
0.32323232,0.7,0.4231799056395535
0.53535354,0.5,0.6648706751603857
0.8484849,0.8,0.22746505811035958
0.43434343,0.4,0.6744951020866478
0.9191919,0.2,0.18751445803695974
0.34343433,0.7,0.5252592713177254
0.21212122,0.7,0.313455271967754
0.04040404,0.5,0.06930293275726816
0.989899,0.2,0.029837882376614486
0.0,0.0,-0.0019167369410775553
0.93939394,0.4,0.15033294679162548
0.57575756,0.2,0.832836850653904
0.35353535,0.3,0.5793879510764418
0.01010101,0.8,0.014322387236724483
0.7070707,0.4,0.545777441189058
0.5959596,0.7,0.4209737781688858
0.42424244,0.9,0.35222530719437606
0.37373737,0.8,0.3826268888283904
0.42424244,0.3,0.6652812354416571
0.27272728,0.1,0.608858836781129
0.24242425,0.9,0.3013165721997594
0.97979796,0.5,0.04564321503105729
0.7777778,0.0,0.6328827302152161
0.3131313,0.4,0.6606261314398647
0.36363637,0.6,0.4169511224846135
0.35353535,0.7,0.45166180548651647
0.989899,0.4,0.024603878887850053
0.3131313,0.7,0.3402555748701929
0.61616164,0.1,0.9464961061972783
0.21212122,0.4,0.43850483419549247
0.47474748,0.0,0.8615818158154012
0.05050505,0.0,0.14751050867212973
0.2929293,0.2,0.780932654238856
0.57575756,0.4,0.5318377453595248
0.7777778,0.2,0.5501206673849585
0.86868685,0.0,0.4438986444275052
0.6969697,0.0,0.8089438308483665
0.56565654,0.2,0.8991958793345896
0.57575756,0.7,0.40804602220537645
0.44444445,0.6,0.43904377982768705
0.5252525,0.3,0.8705369676533369
0.9292929,0.9,0.09454294445759168
0.1919192,0.0,0.533143816024737
0.07070707,0.8,0.0902063005443333
0.121212125,0.3,0.223808832567318
0.34343433,0.2,0.8213847030625072
0.41414142,0.1,0.886003108124502
0.83838385,0.5,0.2535254381423991
0.6060606,0.5,0.5975781215647514
0.28282827,0.7,0.356802246592487
0.05050505,0.2,0.12204037691856094
0.05050505,0.3,0.1360592311270601
0.46464646,0.7,0.577363413820064
0.3030303,0.9,0.37633495296222025
0.969697,0.7,0.05688971419490197
0.3131313,0.1,0.7497013215023828
0.6666667,0.8,0.43464140689049424
0.8080808,0.0,0.5530401292529026
0.5252525,0.4,0.7583901771313792
0.97979796,0.0,0.05627705730991085
