x,t,u
0.5555556,0.55,0.5521313158185821
0.25252524,0.35,0.5070312492307891
0.8484849,0.05,0.5195555643710936
0.35353535,0.15,0.8486528599081785
0.3939394,0.3,0.8180189477260356
0.07070707,0.6,0.1050388055395015
0.121212125,0.7,0.22128089347119892
0.7070707,0.85,0.3165916531431714
0.5858586,0.4,0.6515552087500128
0.24242425,0.9,0.29978197361985703
0.54545456,0.15,0.7901313858825034
0.46464646,0.3,0.797015815169652
0.83838385,0.8,0.23479363700252806
0.27272728,0.1,0.8003705999474774
0.43434343,0.15,0.9632721080473181
0.5858586,0.85,0.425339466965124
0.13131313,0.8,0.15507012645353294
0.7171717,0.45,0.4991214692484829
0.09090909,0.6,0.13816560586991428
0.65656567,0.4,0.7094360521260155
0.17171717,0.8,0.2789276820729837
0.7171717,0.25,0.6473824649671679
0.61616164,0.1,0.706869783474773
0.34343433,0.15,0.8631828448004972
0.68686867,0.1,0.8896077339277081
0.7676768,0.0,0.7717346799612482
0.83838385,0.55,0.32073028917516627
0.68686867,0.9,0.3459850377562555
0.35353535,0.8,0.38803437245538575
0.8181818,0.15,0.4304794132749839
0.25252524,0.45,0.4075865896507587
0.36363637,0.85,0.4382293577658579
0.57575756,0.55,0.4645558906796652
0.82828283,0.7,0.2789259393899498
0.56565654,0.3,0.6221594378398463
0.27272728,0.7,0.33982358897328485
0.060606062,0.4,0.13610348692967558
0.0,0.95,-0.0018449747236436596
0.97979796,0.85,0.029792214299841233
0.09090909,0.9,0.12908384806477016
0.21212122,0.8,0.2441920388383304
0.5555556,0.9,0.4141847806027912
0.0,0.6,0.001040589052716209
0.14141414,0.4,0.29744972797164715
0.83838385,0.0,0.4246537546165111
0.53535354,0.0,0.9066375517657662
0.45454547,0.1,0.7461090790241262
0.8080808,0.25,0.5136614073470944
0.121212125,0.45,0.2331461633785434
0.57575756,0.8,0.4850924682542747
0.2020202,0.35,0.35150756174344433
0.6262626,0.9,0.3143359952031223
0.74747473,0.55,0.45123422736419205
0.3030303,0.6,0.4720944119525363
0.07070707,0.95,0.09443094158804873
0.8787879,0.45,0.2161672771756377
0.86868685,0.5,0.292309277706593
0.68686867,0.2,0.5552703973688398
0.121212125,0.1,0.3490205753574818
0.43434343,0.45,0.6486424683155134
0.959596,0.95,0.0423971291109114
0.8484849,0.3,0.3795094964503219
0.8787879,0.2,0.3575199568860736
0.04040404,0.45,0.08358806316890056
0.21212122,0.05,0.6705737171480886
0.5858586,0.45,0.6354847431353925
0.82828283,0.75,0.289715051279576
0.02020202,0.1,0.0591516799480486
0.3838384,0.45,0.652432312304929
0.7676768,0.4,0.4848350229943344
0.09090909,0.75,0.15150346260683312
0.64646465,0.5,0.5696732245104704
0.44444445,0.15,0.8628593178077412
0.6969697,0.55,0.4523687354424304
0.74747473,0.35,0.47632011448750916
0.9292929,0.7,0.12993934148717937
0.85858583,0.8,0.22751886477199146
0.64646465,0.75,0.34399738215378717
0.17171717,0.65,0.2936748263670923
0.8181818,0.0,0.6119850917401884
0.5555556,0.55,0.5433413551272204
0.04040404,0.65,0.06632611563505034
0.5858586,0.0,0.78246960295005
0.16161616,0.8,0.24924843430207233
0.41414142,0.35,0.7553307157061375
0.7676768,0.2,0.6402420602591818
0.6666667,0.55,0.5214610127715873
0.01010101,0.05,0.024619253697182788
0.94949496,0.75,0.06732133114681821
0.060606062,0.15,0.17093725886510508
0.75757575,0.35,0.5175065997980806
0.56565654,0.9,0.35023638027278914
0.6262626,0.5,0.47971598548614364
0.23232323,0.45,0.3689113167282194
0.5858586,0.35,0.6941091369170769
0.54545456,0.85,0.4042506682635012
0.61616164,0.4,0.7106614868784815
0.90909094,0.35,0.21126182216411263
