# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.429081782698631287e-03 1.599615067243576050e-02 1.918896660208702087e-02 1.909268379211425781e+00 1.448551416397094727e-01 6.429081782698631287e-03 1.599615067243576050e-02 1.918896660208702087e-02 1.909268379211425781e+00 1.448551416397094727e-01
3.700000000000000000e+01 1.190039212815463543e-03 1.339228125289082527e-03 3.756466903723776340e-04 8.279900252819061279e-02 7.084994763135910034e-02 1.190039212815463543e-03 1.339228125289082527e-03 3.756466903723776340e-04 8.279900252819061279e-02 7.084994763135910034e-02
1.000000000000000000e+03 4.696568939834833145e-04 5.727245588786900043e-04 6.714295013807713985e-04 1.683301874436438084e-03 2.423235680907964706e-03 4.696568939834833145e-04 5.727245588786900043e-04 6.714295013807713985e-04 1.683301874436438084e-03 2.423235680907964706e-03
2.000000000000000000e+03 2.005811256822198629e-04 3.720285603776574135e-04 3.093907434958964586e-04 8.309826371259987354e-04 1.171466312371194363e-03 2.005811256822198629e-04 3.720285603776574135e-04 3.093907434958964586e-04 8.309826371259987354e-04 1.171466312371194363e-03
3.000000000000000000e+03 1.777271099854260683e-04 2.652704715728759766e-04 2.039845712715759873e-04 5.111880018375813961e-04 6.086839130148291588e-04 1.777271099854260683e-04 2.652704715728759766e-04 2.039845712715759873e-04 5.111880018375813961e-04 6.086839130148291588e-04
4.000000000000000000e+03 1.420611079083755612e-04 1.959297660505399108e-04 1.599305542185902596e-04 3.282851830590516329e-04 3.532457049004733562e-04 1.420611079083755612e-04 1.959297660505399108e-04 1.599305542185902596e-04 3.282851830590516329e-04 3.532457049004733562e-04
5.000000000000000000e+03 1.157047008746303618e-04 1.613200001884251833e-04 1.267496991204097867e-04 2.340141218155622482e-04 2.399664663244038820e-04 1.157047008746303618e-04 1.613200001884251833e-04 1.267496991204097867e-04 2.340141218155622482e-04 2.399664663244038820e-04
6.000000000000000000e+03 9.709448931971564889e-05 1.371201360598206520e-04 1.026815225486643612e-04 1.957637141458690166e-04 1.951870945049449801e-04 9.709448931971564889e-05 1.371201360598206520e-04 1.026815225486643612e-04 1.957637141458690166e-04 1.951870945049449801e-04
7.000000000000000000e+03 1.115633567678742111e-04 1.523726969026029110e-04 1.324257173109799623e-04 3.396141109988093376e-04 2.655660209711641073e-04 1.115633567678742111e-04 1.523726969026029110e-04 1.324257173109799623e-04 3.396141109988093376e-04 2.655660209711641073e-04
8.000000000000000000e+03 6.786959420423954725e-05 1.013683213386684656e-04 7.155322236940264702e-05 1.215239244629628956e-04 1.200837214128114283e-04 6.786959420423954725e-05 1.013683213386684656e-04 7.155322236940264702e-05 1.215239244629628956e-04 1.200837214128114283e-04
